PolicyKey,PolicyNumber,OrgKey,PlanKey,AgentKey,AdjustmentDate,DateOfCommencement,ModeOfPayment,ChequeEncashmentDetails,PolicyStatus,PremiumInstallmentAmount,FUPDate,Gaps,SumAssured,Budget,PolicyVintageBucket,HasMobile,HasEmail,HasNEFT,HasPAN
45,POL0000045,9,11,63,2024-03-10,2024-03-23,Monthly,NA,Inforce,3254.61,2024-10-12,5,374204.27,14020.68,>=2 years and <3 years,0,0,1,0
46,POL0000046,31,8,44,2023-05-18,2023-05-21,Monthly,NA,Lapsed,2716.2,2024-01-15,0,360377.31,80566.36,>=2 years and <3 years,1,1,0,1
47,POL0000047,31,2,9,2023-04-16,2023-05-14,Monthly,NA,Inforce,3417.78,2024-04-13,0,273075.62,105487.26,>=2 years and <3 years,1,0,1,0
48,POL0000048,4,3,20,2023-12-24,2023-12-25,Half-yearly,Honoured,Inforce,3919.45,2024-12-14,5,351431.4,133262.22,>=2 years and <3 years,1,1,1,1
49,POL0000049,16,2,72,2025-05-01,2025-05-16,Half-yearly,NA,Inforce,5631.87,2025-12-16,3,153525.07,29284.63,Less than 1 year,1,1,1,0
50,POL0000050,15,9,49,2024-10-22,2024-11-21,Quarterly,NA,Lapsed,1090.88,2025-06-10,0,130496.62,76650.06,>=1 year and <2 years,1,1,1,1
51,POL0000051,28,5,73,2025-07-20,2025-07-25,Quarterly,NA,Inforce,1315.79,2026-03-10,2,422460.03,42169.75,Less than 1 year,1,1,0,1
52,POL0000052,14,11,28,2024-06-30,2024-07-17,Monthly,NA,Inforce,4742.78,2024-11-10,3,731762.81,70602.28,>=1 year and <2 years,1,1,1,1
53,POL0000053,36,2,21,2026-02-26,2026-03-02,Single,NA,Inforce,2752.21,2026-05-02,1,152513.58,67476.97,Less than 1 year,1,1,1,1
54,POL0000054,19,1,30,2026-01-31,2026-02-18,Monthly,NA,Lapsed,1278.72,2027-01-23,0,237277.23,285868.25,Less than 1 year,1,1,1,0
55,POL0000055,5,11,30,2024-11-18,2024-12-08,Yearly,Honoured,Inforce,2794.03,2025-08-02,1,228691.9,130254.39,>=1 year and <2 years,1,1,1,1
56,POL0000056,13,7,15,2025-08-30,2025-09-21,Quarterly,NA,Lapsed,2641.12,2025-12-03,5,286676.93,42890.75,Less than 1 year,1,1,0,1
57,POL0000057,10,2,8,2023-05-16,2023-05-19,Monthly,NA,Inforce,3727.14,2024-04-04,5,402223.38,38644.29,>=2 years and <3 years,1,1,1,0
58,POL0000058,37,5,57,2025-12-11,2025-12-11,Monthly,NA,Inforce,757.15,2026-09-04,5,893255.15,111909.39,Less than 1 year,1,1,1,0
59,POL0000059,18,9,70,2023-06-23,2023-07-23,Quarterly,NA,Inforce,3245.34,2024-01-11,1,435217.82,12270.04,>=2 years and <3 years,1,1,1,1
60,POL0000060,28,12,42,2025-07-05,2025-07-21,Quarterly,NA,Inforce,3733.28,2026-04-16,0,615253.76,216603.02,Less than 1 year,1,0,0,1
61,POL0000061,37,10,3,2024-10-01,2024-10-14,Yearly,NA,Inforce,1917.02,2025-03-03,0,333276.05,63081.59,>=1 year and <2 years,1,1,1,0
62,POL0000062,3,3,61,2026-01-22,2026-01-23,Quarterly,NA,Inforce,977.1,2026-04-27,1,194954.35,140478.49,Less than 1 year,1,1,1,0
63,POL0000063,38,7,63,2025-10-19,2025-11-07,Yearly,NA,Inforce,2245.11,2026-04-22,4,264128.2,60043.69,Less than 1 year,1,1,1,0
64,POL0000064,21,11,14,2024-03-27,2024-04-10,Yearly,NA,Inforce,2986.62,2024-12-27,5,279808.97,37926.43,>=1 year and <2 years,1,0,1,1
65,POL0000065,19,11,52,2025-10-12,2025-10-28,Half-yearly,NA,Inforce,1466.7,2025-12-04,2,391983.04,52355.18,Less than 1 year,1,1,1,1
66,POL0000066,21,5,42,2025-01-23,2025-02-20,Monthly,Honoured,Lapsed,3474.14,2025-08-10,1,94186.86,47032.59,>=1 year and <2 years,1,1,1,0
67,POL0000067,1,11,70,2025-08-24,2025-09-12,Quarterly,NA,Inforce,5285.99,2026-09-07,4,401234.46,5714.99,Less than 1 year,0,0,0,1
68,POL0000068,40,8,57,2024-10-05,2024-10-27,Half-yearly,NA,Inforce,1234.08,2025-07-02,3,362179.94,213156.69,>=1 year and <2 years,0,1,0,0
69,POL0000069,19,8,63,2025-02-24,2025-03-06,Monthly,Dishonoured,Inforce,927.96,2025-07-14,0,213769.26,31296.1,>=1 year and <2 years,0,1,0,1
70,POL0000070,16,12,21,2023-06-20,2023-07-14,Monthly,NA,Inforce,5370.7,2023-10-26,3,180276.22,81372.83,>=2 years and <3 years,1,1,1,1
71,POL0000071,15,2,60,2024-05-07,2024-05-10,Yearly,NA,Inforce,2879.04,2025-02-20,4,428735.51,24193.5,>=1 year and <2 years,1,0,1,1
72,POL0000072,19,9,35,2023-07-21,2023-08-09,Monthly,NA,Inforce,1919.18,2024-02-04,0,372007.21,28626.24,>=2 years and <3 years,1,1,0,0
73,POL0000073,30,9,19,2024-01-04,2024-01-11,Monthly,Honoured,Inforce,587.79,2024-08-04,2,2305942.66,34718.78,>=2 years and <3 years,1,1,1,0
74,POL0000074,9,2,36,2025-11-02,2025-11-07,Half-yearly,Honoured,Inforce,3539.65,2026-07-21,2,90763.57,93812.68,Less than 1 year,0,1,1,1
75,POL0000075,33,5,1,2023-08-09,2023-08-26,Monthly,NA,Inforce,885.05,2023-10-15,2,219512.97,263766.84,>=2 years and <3 years,1,1,1,1
76,POL0000076,32,3,58,2024-11-26,2024-11-26,Quarterly,NA,Inforce,1484.18,2025-11-14,3,791395.26,37360.37,>=1 year and <2 years,0,1,1,1
77,POL0000077,35,7,59,2024-04-13,2024-05-10,Yearly,Honoured,Cheque Dishonor,898.44,2024-12-14,1,441172.49,31236.15,>=1 year and <2 years,1,1,0,1
78,POL0000078,16,10,50,2025-10-20,2025-10-27,Monthly,Honoured,Inforce,4127.93,2026-01-24,0,2018004.24,72980.53,Less than 1 year,1,0,1,1
79,POL0000079,31,12,49,2026-02-01,2026-03-03,Monthly,NA,Inforce,1828.5,2026-06-26,4,200960.12,33789.71,Less than 1 year,1,1,1,1
80,POL0000080,10,8,5,2024-03-14,2024-04-12,Monthly,Dishonoured,Inforce,3018.43,2025-03-22,2,642537.64,6589.14,>=1 year and <2 years,1,1,1,1
81,POL0000081,7,8,13,2026-03-11,2026-03-25,Quarterly,NA,Inforce,2215.83,2027-01-14,1,246591.71,19772.47,Less than 1 year,1,1,0,1
82,POL0000082,27,11,20,2026-03-03,2026-03-12,Single,Honoured,Inforce,2188.83,2026-06-27,2,296742.58,94021.2,Less than 1 year,1,1,1,1
83,POL0000083,40,12,51,2023-05-02,2023-05-12,Quarterly,Honoured,Lapsed,3772.51,2023-12-13,4,132417.29,45853.98,>=2 years and <3 years,1,1,1,0
84,POL0000084,35,7,41,2024-03-30,2024-04-06,Quarterly,Honoured,Inforce,2961.94,2024-07-27,5,120500.48,18255.03,>=1 year and <2 years,1,1,1,1
85,POL0000085,35,1,80,2023-04-23,2023-05-21,Single,NA,Lapsed,2748.79,2024-04-28,1,572143.08,11636.4,>=2 years and <3 years,1,1,1,1
86,POL0000086,15,12,12,2025-04-20,2025-05-16,Monthly,NA,Inforce,2653.05,2025-09-17,5,1263774.42,79574.27,Less than 1 year,1,0,1,0
87,POL0000087,7,8,22,2024-11-29,2024-12-13,Half-yearly,Honoured,Inforce,8546.69,2025-11-13,5,744431.93,21829.4,>=1 year and <2 years,1,0,1,1
88,POL0000088,4,5,46,2024-10-14,2024-10-26,Monthly,NA,Inforce,3897.36,2025-08-28,0,394025.49,10041.97,>=1 year and <2 years,1,1,0,0
89,POL0000089,37,11,24,2024-02-24,2024-03-17,Monthly,NA,Lapsed,5650.95,2024-05-27,5,883845.76,50545.35,>=2 years and <3 years,1,0,1,1
90,POL0000090,40,11,31,2023-08-11,2023-09-10,Quarterly,NA,Inforce,2424.37,2024-08-15,0,1263740.7,111811.57,>=2 years and <3 years,1,0,0,1
91,POL0000091,41,5,59,2023-09-28,2023-10-17,Monthly,NA,Inforce,2283.39,2024-07-15,0,110335.98,79211.59,>=2 years and <3 years,1,0,1,1
92,POL0000092,19,11,70,2023-09-18,2023-09-25,Monthly,NA,Inforce,4626.46,2024-08-01,1,152588.72,18853.41,>=2 years and <3 years,1,1,0,1
93,POL0000093,38,5,55,2024-01-18,2024-02-10,Half-yearly,NA,Inforce,1185.03,2024-04-30,2,356939.9,41685.28,>=2 years and <3 years,1,1,1,1
94,POL0000094,25,8,14,2025-07-22,2025-08-18,Monthly,NA,Inforce,1964.22,2025-11-09,4,373286.3,17931.1,Less than 1 year,1,1,0,0
95,POL0000095,19,1,51,2023-12-23,2023-12-29,Monthly,NA,Inforce,702.08,2024-11-18,4,307068.37,51410.81,>=2 years and <3 years,1,0,0,0
96,POL0000096,4,10,64,2026-02-01,2026-02-18,Half-yearly,Honoured,Inforce,1270.77,2026-12-06,5,164263.02,22356.38,Less than 1 year,1,1,0,1
97,POL0000097,15,10,46,2023-11-16,2023-12-16,Monthly,NA,Inforce,2553.94,2024-10-11,4,278423.56,56259.51,>=2 years and <3 years,1,1,0,1
98,POL0000098,9,11,13,2023-04-12,2023-04-30,Yearly,NA,Inforce,2012.12,2023-11-15,2,620585.61,51418.6,>=2 years and <3 years,1,1,1,1
99,POL0000099,29,1,75,2023-05-22,2023-06-01,Monthly,NA,Lapsed,3729.35,2024-03-01,1,94627.03,47439.39,>=2 years and <3 years,0,1,1,1
100,POL0000100,21,12,54,2024-09-04,2024-09-20,Monthly,NA,Inforce,1760.09,2025-03-21,1,374980.45,20184.59,>=1 year and <2 years,0,1,1,1
101,POL0000101,24,9,65,2023-12-12,2023-12-19,Yearly,Honoured,Inforce,2189.58,2024-05-02,4,293358.82,61253.86,>=2 years and <3 years,0,0,0,1
102,POL0000102,31,5,44,2024-06-21,2024-06-25,Half-yearly,NA,Inforce,5276.48,2024-10-07,3,50000.0,10787.95,>=1 year and <2 years,1,1,1,1
103,POL0000103,15,11,51,2024-08-09,2024-08-13,Yearly,Honoured,Inforce,4692.17,2025-01-15,3,150494.74,76938.85,>=1 year and <2 years,1,1,0,0
104,POL0000104,26,1,34,2023-05-18,2023-05-24,Quarterly,NA,Inforce,1721.1,2023-11-07,0,250494.59,15842.69,>=2 years and <3 years,1,0,1,1
105,POL0000105,17,10,49,2023-06-07,2023-06-20,Half-yearly,Honoured,Inforce,1721.15,2024-05-10,4,757322.12,182125.24,>=2 years and <3 years,1,1,1,1
106,POL0000106,15,8,4,2023-05-10,2023-06-08,Quarterly,Honoured,Inforce,2685.39,2023-07-09,4,262658.89,272048.51,>=2 years and <3 years,1,1,1,1
107,POL0000107,40,4,9,2024-04-27,2024-04-30,Quarterly,NA,Inforce,3271.62,2024-06-29,2,1120687.56,66067.77,>=1 year and <2 years,1,1,1,1
108,POL0000108,42,7,15,2024-05-20,2024-05-23,Monthly,Honoured,Inforce,2838.45,2024-06-22,1,444253.72,147274.57,>=1 year and <2 years,1,1,1,0
109,POL0000109,32,2,13,2023-09-03,2023-09-28,Monthly,NA,Inforce,280.06,2024-02-29,2,430607.65,76845.69,>=2 years and <3 years,1,1,1,0
110,POL0000110,24,11,70,2025-03-19,2025-04-07,Monthly,Honoured,Inforce,2497.12,2025-12-07,4,1093656.55,56257.95,Less than 1 year,1,1,1,0
111,POL0000111,27,11,13,2024-02-01,2024-02-09,Half-yearly,NA,Lapsed,1601.56,2024-07-21,2,308422.92,38764.58,>=2 years and <3 years,1,1,0,1
112,POL0000112,18,1,48,2024-06-26,2024-07-18,Monthly,NA,Inforce,4850.58,2024-11-26,3,96573.93,74548.84,>=1 year and <2 years,0,1,1,0
113,POL0000113,24,2,48,2026-03-12,2026-04-07,Quarterly,Dishonoured,Inforce,3652.75,2027-04-03,2,390963.65,38079.09,Less than 1 year,1,1,0,1
114,POL0000114,26,5,25,2025-06-11,2025-07-03,Yearly,Honoured,Inforce,2340.7,2026-05-29,3,554042.15,55761.47,Less than 1 year,1,1,1,1
115,POL0000115,6,11,28,2025-04-30,2025-05-12,Quarterly,NA,Inforce,3656.98,2025-09-05,0,393842.25,91386.19,Less than 1 year,1,1,1,1
116,POL0000116,22,4,17,2025-08-27,2025-09-02,Half-yearly,NA,Inforce,1851.22,2026-08-13,5,130027.7,19947.07,Less than 1 year,1,1,1,1
117,POL0000117,36,4,76,2024-02-01,2024-02-21,Monthly,Honoured,Inforce,3022.0,2024-11-26,1,491120.84,7499.71,>=2 years and <3 years,0,1,1,1
118,POL0000118,10,10,1,2023-06-10,2023-06-19,Monthly,Dishonoured,Cheque Dishonor,5098.12,2024-01-09,2,201037.93,77375.33,>=2 years and <3 years,1,0,0,1
119,POL0000119,35,5,23,2023-10-10,2023-11-08,Monthly,Honoured,Inforce,3753.66,2024-03-27,1,653862.95,93759.47,>=2 years and <3 years,1,1,1,0
120,POL0000120,23,4,76,2026-02-06,2026-03-06,Monthly,NA,Inforce,1409.05,2027-02-13,5,111094.15,41610.86,Less than 1 year,1,1,1,1
121,POL0000121,27,9,15,2025-01-21,2025-02-09,Half-yearly,NA,Inforce,3199.5,2025-06-21,1,428188.68,43541.15,>=1 year and <2 years,1,0,0,1
122,POL0000122,33,10,14,2024-05-04,2024-05-04,Quarterly,NA,Inforce,1314.05,2024-11-02,4,953255.76,46637.38,>=1 year and <2 years,1,1,1,0
123,POL0000123,34,5,59,2024-02-07,2024-02-12,Quarterly,NA,Cheque Dishonor,2864.41,2024-03-21,2,2838841.04,29491.33,>=2 years and <3 years,0,1,1,0
124,POL0000124,26,7,14,2023-12-29,2024-01-06,Quarterly,Honoured,Inforce,2671.2,2024-04-20,3,98032.08,12462.95,>=2 years and <3 years,1,1,1,1
125,POL0000125,6,6,78,2024-02-17,2024-03-09,Monthly,NA,Inforce,2785.73,2024-04-08,5,800164.11,207118.26,>=2 years and <3 years,1,0,1,1
126,POL0000126,38,9,42,2023-10-12,2023-10-25,Monthly,NA,Inforce,3579.77,2024-03-26,4,124700.18,93941.65,>=2 years and <3 years,1,0,1,1
127,POL0000127,33,10,56,2023-12-13,2024-01-05,Single,Honoured,Lapsed,2123.97,2024-03-31,2,247505.48,54808.82,>=2 years and <3 years,1,1,1,1
128,POL0000128,42,9,28,2024-02-01,2024-02-03,Monthly,Honoured,Inforce,3275.53,2024-05-19,0,164668.08,40438.27,>=2 years and <3 years,1,1,0,1
129,POL0000129,30,7,54,2023-04-29,2023-05-03,Half-yearly,NA,Inforce,710.22,2023-08-31,4,243063.75,26970.82,>=2 years and <3 years,1,1,0,1
130,POL0000130,17,6,20,2024-03-23,2024-04-15,Half-yearly,NA,Inforce,2370.29,2024-11-12,4,1186565.74,6198.91,>=1 year and <2 years,1,1,0,1
131,POL0000131,6,2,56,2025-07-08,2025-07-10,Single,Honoured,Inforce,1985.25,2025-10-02,1,683986.92,59008.12,Less than 1 year,0,1,0,1
132,POL0000132,36,1,76,2025-12-28,2026-01-09,Yearly,NA,Inforce,2502.01,2026-12-25,5,50000.0,13958.76,Less than 1 year,1,1,1,0
133,POL0000133,27,6,55,2023-04-08,2023-04-25,Yearly,Honoured,Cooling Off,1491.51,2023-10-01,4,1267974.51,34516.88,>=2 years and <3 years,1,1,1,1
134,POL0000134,39,5,46,2024-02-09,2024-02-21,Monthly,NA,Inforce,2375.91,2024-04-25,4,163073.81,57156.17,>=2 years and <3 years,1,1,1,1
135,POL0000135,31,4,14,2025-02-27,2025-03-19,Monthly,NA,Inforce,3654.67,2025-08-17,0,99750.54,37616.59,>=1 year and <2 years,1,1,0,1
136,POL0000136,18,10,29,2025-09-23,2025-10-07,Half-yearly,Honoured,Cooling Off,2143.2,2026-04-14,0,1409256.11,291913.97,Less than 1 year,1,1,1,1
137,POL0000137,40,10,72,2024-06-26,2024-07-02,Single,Honoured,Inforce,1867.45,2025-01-23,1,276404.43,27841.17,>=1 year and <2 years,1,1,1,1
138,POL0000138,18,1,24,2024-04-08,2024-04-16,Monthly,Honoured,Lapsed,4256.07,2024-10-03,1,258531.39,26306.72,>=1 year and <2 years,1,1,1,1
139,POL0000139,23,1,24,2024-06-18,2024-06-21,Yearly,NA,Inforce,5535.96,2025-06-09,4,842381.91,72378.36,>=1 year and <2 years,0,1,1,1
140,POL0000140,10,12,4,2024-08-24,2024-09-22,Single,NA,Inforce,3497.38,2025-08-25,4,193280.09,18202.0,>=1 year and <2 years,1,1,0,1
141,POL0000141,30,6,21,2025-08-27,2025-09-08,Monthly,Honoured,Inforce,1553.91,2026-03-14,0,473528.5,87216.6,Less than 1 year,1,0,0,1
142,POL0000142,37,10,11,2025-03-29,2025-04-10,Yearly,NA,Inforce,4679.61,2026-02-03,3,215737.63,9826.63,Less than 1 year,1,1,1,1
143,POL0000143,4,11,11,2024-05-23,2024-06-06,Monthly,NA,Inforce,2996.58,2024-10-31,3,181452.64,100390.57,>=1 year and <2 years,1,1,1,0
144,POL0000144,29,7,35,2026-02-21,2026-03-05,Monthly,NA,Inforce,4029.96,2026-12-22,3,288338.58,45063.56,Less than 1 year,1,0,0,0
145,POL0000145,8,5,76,2026-03-19,2026-03-20,Quarterly,NA,Inforce,5964.93,2027-01-28,2,404327.15,28525.04,Less than 1 year,1,1,0,1
146,POL0000146,26,10,8,2023-06-30,2023-06-30,Single,NA,Inforce,5116.46,2023-09-18,5,59889.45,102337.67,>=2 years and <3 years,1,0,1,0
147,POL0000147,9,5,38,2026-03-15,2026-03-26,Monthly,NA,Inforce,4099.28,2026-05-14,1,211143.78,35054.62,Less than 1 year,1,1,0,0
148,POL0000148,12,3,49,2025-08-12,2025-09-07,Quarterly,NA,Inforce,1248.34,2026-08-15,3,313114.14,7660.38,Less than 1 year,1,1,1,0
149,POL0000149,23,2,51,2025-06-05,2025-06-23,Yearly,NA,Inforce,5238.48,2026-06-02,2,227184.79,17288.17,Less than 1 year,1,0,1,1
150,POL0000150,5,6,74,2025-06-06,2025-07-03,Monthly,NA,Inforce,2213.39,2026-06-13,3,91445.04,145969.14,Less than 1 year,1,1,1,1
151,POL0000151,19,2,52,2023-08-27,2023-08-28,Single,NA,Inforce,4467.24,2024-08-14,3,84155.34,44727.77,>=2 years and <3 years,1,1,1,0
152,POL0000152,40,8,47,2023-11-04,2023-11-16,Single,Honoured,Inforce,3201.03,2024-05-03,5,436428.56,90388.97,>=2 years and <3 years,0,1,1,1
153,POL0000153,38,7,68,2024-05-02,2024-05-03,Single,Honoured,Inforce,1822.6,2024-10-04,5,1903896.8,67099.87,>=1 year and <2 years,1,1,0,1
154,POL0000154,15,6,22,2024-03-05,2024-04-03,Single,NA,Inforce,1151.61,2025-03-05,0,534469.46,279690.14,>=1 year and <2 years,1,1,0,1
155,POL0000155,13,6,45,2025-05-13,2025-05-25,Half-yearly,Honoured,Inforce,1992.93,2026-05-22,0,74979.53,108616.47,Less than 1 year,1,1,0,1
156,POL0000156,16,2,19,2025-04-05,2025-05-01,Monthly,NA,Inforce,4446.18,2025-11-28,4,582354.48,71980.31,Less than 1 year,0,1,0,1
157,POL0000157,42,2,23,2024-05-28,2024-06-13,Yearly,NA,Inforce,2977.34,2024-09-23,5,799998.3,3787.38,>=1 year and <2 years,1,1,1,1
158,POL0000158,37,10,58,2023-08-03,2023-08-05,Half-yearly,Honoured,Inforce,1302.58,2024-03-12,4,144188.82,27311.35,>=2 years and <3 years,1,1,1,1
159,POL0000159,40,6,41,2024-02-03,2024-03-04,Monthly,NA,Inforce,3589.03,2024-08-09,3,475430.01,14057.91,>=2 years and <3 years,1,1,1,1
160,POL0000160,20,5,76,2023-09-10,2023-09-16,Single,NA,Inforce,3792.76,2024-02-15,5,505314.49,49605.8,>=2 years and <3 years,1,0,1,0
161,POL0000161,29,1,8,2025-02-11,2025-03-12,Monthly,NA,Inforce,5680.48,2025-05-18,0,1785049.39,122482.02,>=1 year and <2 years,0,1,0,1
162,POL0000162,6,10,77,2024-07-05,2024-07-10,Quarterly,NA,Inforce,5795.04,2024-10-10,3,144694.93,105004.94,>=1 year and <2 years,1,0,1,0
