ClaimCaseKey,PolicyKey,OrgKey,PlanKey,AgentKey,ClaimBookedDate,ClaimPaidDate,ClaimPaymentDueDate,ClaimIntimationDate,PaymentType,ClaimType,DeathClaimType,ClaimStatus,ClaimAmountPaid,ClaimAmountPayable,PaidFinYear,IsBooked,IsPayable,IsPaid,IsPaidOnOrBeforeDueDate,IsRepudiated,IsRejected,IsCancelled,IsIntimationCancelled,OutstandingDaysAsOf,OutstandingBucket,IsOutstandingAsOf,ReinvestmentConsentFlag,ReinvestmentAmount,ClaimBookedDateKey,ClaimPaidDateKey,ClaimPaymentDueDateKey,ClaimIntimationDateKey
11,818,29,10,19,2024-12-18,,2024-03-31,2024-12-12,Maturity,Maturity,,Pending,0.0,294649.29,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241218,,20240331,20241212
12,499,27,12,71,2024-07-04,,2024-03-31,2024-06-25,NEDC,Death,Non-Early,Pending,0.0,1895244.4,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240704,,20240331,20240625
13,989,14,1,76,2024-02-06,,2024-03-10,2024-01-26,Maturity,Maturity,,Pending,0.0,424240.92,,1,1,0,0,0,0,0,0,747,>12 Months,1,0,0.0,20240206,,20240310,20240126
14,615,14,9,5,2024-07-16,,2024-03-31,2024-06-28,EDC,Death,Early,Pending,0.0,303574.28,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240716,,20240331,20240628
15,863,4,7,40,2024-02-05,,2024-03-31,2024-01-28,Maturity,Maturity,,Pending,0.0,181087.24,,1,1,0,0,0,0,0,0,726,>12 Months,1,1,61498.67,20240205,,20240331,20240128
16,552,12,2,63,2024-04-18,,2024-03-31,2024-03-30,SB,SB,,Pending,0.0,41130.62,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240418,,20240331,20240330
17,821,31,1,43,2024-06-19,,2024-03-31,2024-06-03,Maturity,Maturity,,Pending,0.0,222795.64,,1,1,0,0,0,0,0,0,726,>12 Months,1,1,68611.71,20240619,,20240331,20240603
18,336,18,1,10,2024-04-22,,2024-03-31,2024-04-04,Maturity,Maturity,,Pending,0.0,145551.42,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240422,,20240331,20240404
19,1889,27,11,58,2024-06-26,,2024-03-31,2024-06-24,EDC,Death,Early,Pending,0.0,494185.42,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240626,,20240331,20240624
20,267,16,1,68,2024-01-12,,2024-03-31,2024-01-01,Maturity,Maturity,,Pending,0.0,230317.25,,1,1,0,0,0,0,0,0,726,>12 Months,1,1,191938.48,20240112,,20240331,20240101
21,1615,15,12,12,2024-02-19,,2024-03-31,2024-02-02,SB,SB,,Pending,0.0,98306.57,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240219,,20240331,20240202
22,1988,6,10,60,2024-09-02,,2024-03-31,2024-08-24,EDC,Death,Non-Early,Pending,0.0,2242567.7,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240902,,20240331,20240824
23,940,40,1,44,2024-12-24,,2024-03-31,2024-12-11,NEDC,Death,Early,Pending,0.0,823189.56,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241224,,20240331,20241211
24,1349,9,4,25,2024-10-12,,2024-03-31,2024-09-30,EDC,Death,Non-Early,Pending,0.0,198190.2,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241012,,20240331,20240930
25,630,40,4,6,2024-03-08,,2024-03-31,2024-02-21,EDC,Death,Early,Pending,0.0,170118.99,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240308,,20240331,20240221
26,895,29,9,4,2024-01-19,,2024-02-19,2023-12-31,EDC,Death,Early,Pending,0.0,369072.57,,1,1,0,0,0,0,0,0,767,>12 Months,1,0,0.0,20240119,,20240219,20231231
27,1403,25,12,40,2024-10-11,,2024-03-31,2024-10-09,Maturity,Maturity,,Pending,0.0,282404.59,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241011,,20240331,20241009
28,1589,29,4,56,2024-05-03,,2024-03-31,2024-04-24,NEDC,Death,Early,Pending,0.0,165422.75,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240503,,20240331,20240424
29,706,36,5,72,2024-06-13,,2024-03-31,2024-05-31,NEDC,Death,Early,Pending,0.0,300745.26,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240613,,20240331,20240531
30,1870,19,10,4,2024-08-22,,2024-03-31,2024-08-05,Maturity,Maturity,,Pending,0.0,372965.67,,1,1,0,0,0,0,0,0,726,>12 Months,1,1,216812.57,20240822,,20240331,20240805
31,771,18,10,16,2024-10-25,,2024-03-31,2024-10-16,SB,SB,,Pending,0.0,63270.42,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241025,,20240331,20241016
32,1447,32,1,13,2024-03-06,,2024-03-31,2024-03-05,EDC,Death,Non-Early,Pending,0.0,464878.34,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240306,,20240331,20240305
33,264,10,5,6,2024-09-16,,2024-03-31,2024-08-29,EDC,Death,Non-Early,Pending,0.0,747465.2,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240916,,20240331,20240829
34,1584,9,7,79,2024-04-15,,2024-03-31,2024-04-01,NEDC,Death,Non-Early,Pending,0.0,410574.43,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240415,,20240331,20240401
35,1223,42,6,58,2024-09-09,,2024-03-31,2024-09-05,EDC,Death,Non-Early,Pending,0.0,429688.45,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240909,,20240331,20240905
36,1001,17,6,79,2024-11-14,,2024-03-31,2024-11-03,Maturity,Maturity,,Pending,0.0,158584.31,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241114,,20240331,20241103
37,1988,6,10,60,2024-03-21,,2024-03-31,2024-03-06,Maturity,Maturity,,Pending,0.0,238078.01,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240321,,20240331,20240306
38,455,38,2,20,2024-09-10,,2024-03-31,2024-09-01,SB,SB,,Pending,0.0,48070.66,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240910,,20240331,20240901
39,365,35,10,11,2024-08-09,,2024-03-31,2024-07-26,SB,SB,,Pending,0.0,45251.21,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240809,,20240331,20240726
40,756,16,3,50,2024-05-17,,2024-03-31,2024-05-10,EDC,Death,Non-Early,Pending,0.0,551778.3,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240517,,20240331,20240510
41,1874,37,9,74,2024-03-20,,2024-03-31,2024-03-18,EDC,Death,Early,Pending,0.0,814078.6,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240320,,20240331,20240318
42,1024,4,2,50,2024-12-28,,2024-03-31,2024-12-20,EDC,Death,Non-Early,Pending,0.0,2168510.8,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241228,,20240331,20241220
43,892,20,12,41,2024-06-01,,2024-03-31,2024-05-26,NEDC,Death,Early,Pending,0.0,1780618.11,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240601,,20240331,20240526
44,872,36,3,59,2024-04-28,,2024-03-31,2024-04-12,NEDC,Death,Non-Early,Pending,0.0,830063.35,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240428,,20240331,20240412
45,1383,14,3,27,2024-11-13,,2024-03-31,2024-11-11,SB,SB,,Pending,0.0,45360.79,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241113,,20240331,20241111
46,72,19,9,35,2024-05-01,,2024-03-31,2024-04-20,NEDC,Death,Early,Pending,0.0,455380.61,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240501,,20240331,20240420
47,335,3,4,28,2024-02-23,,2024-03-31,2024-02-14,EDC,Death,Non-Early,Pending,0.0,332664.81,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240223,,20240331,20240214
48,1652,40,11,8,2024-06-13,,2024-03-31,2024-05-25,EDC,Death,Non-Early,Pending,0.0,936339.01,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240613,,20240331,20240525
49,1646,19,3,9,2024-05-13,,2024-03-31,2024-05-03,SB,SB,,Pending,0.0,75827.97,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240513,,20240331,20240503
50,330,40,9,33,2024-05-08,,2024-03-31,2024-05-05,NEDC,Death,Non-Early,Pending,0.0,2436712.28,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240508,,20240331,20240505
51,24,39,10,15,2024-10-26,,2024-03-31,2024-10-08,Maturity,Maturity,,Pending,0.0,133154.23,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241026,,20240331,20241008
52,1966,21,2,7,2024-04-08,,2024-03-31,2024-04-06,Maturity,Maturity,,Pending,0.0,594905.19,,1,1,0,0,0,0,0,0,726,>12 Months,1,1,251861.03,20240408,,20240331,20240406
53,866,39,8,31,2024-08-22,,2024-03-31,2024-08-12,SB,SB,,Pending,0.0,53955.47,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240822,,20240331,20240812
54,621,12,12,66,2024-09-29,,2024-03-31,2024-09-26,Maturity,Maturity,,Pending,0.0,177260.78,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240929,,20240331,20240926
55,1520,15,7,14,2024-10-15,,2024-03-31,2024-10-10,Maturity,Maturity,,Pending,0.0,298040.79,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241015,,20240331,20241010
56,1237,24,3,38,2024-04-11,,2024-03-31,2024-04-08,SB,SB,,Pending,0.0,144697.97,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240411,,20240331,20240408
57,1861,18,10,71,2024-06-10,,2024-03-31,2024-05-27,Maturity,Maturity,,Pending,0.0,120246.83,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240610,,20240331,20240527
58,764,10,1,35,2024-01-08,,2024-02-07,2023-12-22,SB,SB,,Pending,0.0,95433.07,,1,1,0,0,0,0,0,0,779,>12 Months,1,0,0.0,20240108,,20240207,20231222
59,1459,26,12,18,2024-09-03,,2024-03-31,2024-08-22,NEDC,Death,Early,Pending,0.0,491001.04,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240903,,20240331,20240822
60,1609,29,12,62,2024-10-26,,2024-03-31,2024-10-18,NEDC,Death,Non-Early,Pending,0.0,555646.78,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241026,,20240331,20241018
61,1783,23,8,46,2024-10-21,,2024-03-31,2024-10-13,Maturity,Maturity,,Pending,0.0,268852.02,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241021,,20240331,20241013
62,308,10,5,49,2024-07-22,,2024-03-31,2024-07-20,NEDC,Death,Early,Pending,0.0,483173.85,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240722,,20240331,20240720
63,1055,36,2,28,2024-01-13,,2024-03-05,2024-01-06,SB,SB,,Pending,0.0,86913.06,,1,1,0,0,0,0,0,0,752,>12 Months,1,0,0.0,20240113,,20240305,20240106
64,1491,10,7,55,2024-12-22,,2024-03-31,2024-12-09,SB,SB,,Pending,0.0,154100.63,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241222,,20240331,20241209
65,891,11,10,78,2024-02-16,,2024-03-31,2024-02-02,NEDC,Death,Early,Pending,0.0,313643.24,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240216,,20240331,20240202
66,249,40,12,39,2024-10-22,,2024-03-31,2024-10-20,SB,SB,,Pending,0.0,32087.13,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241022,,20240331,20241020
67,943,37,5,8,2024-11-28,,2024-03-31,2024-11-24,NEDC,Death,Non-Early,Pending,0.0,460292.53,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241128,,20240331,20241124
68,872,36,3,59,2024-08-07,,2024-03-31,2024-07-25,NEDC,Death,Early,Pending,0.0,1013951.31,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240807,,20240331,20240725
69,1112,31,9,21,2024-04-24,,2024-03-31,2024-04-10,NEDC,Death,Non-Early,Pending,0.0,932998.38,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240424,,20240331,20240410
70,855,34,3,60,2024-02-12,,2024-03-31,2024-02-11,NEDC,Death,Non-Early,Pending,0.0,486433.01,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240212,,20240331,20240211
71,1303,2,11,57,2024-03-03,,2024-03-31,2024-02-21,EDC,Death,Non-Early,Pending,0.0,1231737.72,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240303,,20240331,20240221
72,1499,7,10,24,2024-06-13,,2024-03-31,2024-06-05,NEDC,Death,Early,Pending,0.0,860361.83,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240613,,20240331,20240605
73,359,12,11,71,2024-12-26,,2024-03-31,2024-12-21,EDC,Death,Early,Pending,0.0,227232.88,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241226,,20240331,20241221
74,1489,31,5,19,2024-02-12,,2024-03-31,2024-02-04,NEDC,Death,Non-Early,Pending,0.0,290982.75,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240212,,20240331,20240204
75,1829,3,6,10,2024-10-22,,2024-03-31,2024-10-21,NEDC,Death,Early,Pending,0.0,549468.42,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241022,,20240331,20241021
76,1882,27,7,65,2024-08-05,,2024-03-31,2024-08-01,SB,SB,,Pending,0.0,203761.71,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240805,,20240331,20240801
77,1710,18,6,80,2024-05-14,,2024-03-31,2024-05-04,SB,SB,,Pending,0.0,162609.11,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240514,,20240331,20240504
78,1681,36,7,15,2024-01-13,,2024-03-31,2024-01-10,Maturity,Maturity,,Pending,0.0,417645.64,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240113,,20240331,20240110
79,939,16,8,10,2024-08-20,,2024-03-31,2024-08-11,NEDC,Death,Non-Early,Pending,0.0,478593.66,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240820,,20240331,20240811
80,79,31,12,49,2024-01-08,,2024-03-31,2023-12-29,EDC,Death,Non-Early,Pending,0.0,369423.88,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240108,,20240331,20231229
81,1050,23,2,42,2024-12-06,,2024-03-31,2024-11-18,SB,SB,,Pending,0.0,77586.32,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241206,,20240331,20241118
82,162,6,10,77,2024-11-26,,2024-03-31,2024-11-23,NEDC,Death,Non-Early,Pending,0.0,914602.71,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241126,,20240331,20241123
83,821,31,1,43,2024-01-26,,2024-03-31,2024-01-14,NEDC,Death,Early,Pending,0.0,639068.05,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240126,,20240331,20240114
84,1714,12,6,32,2024-08-08,,2024-03-31,2024-07-27,SB,SB,,Pending,0.0,39497.1,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240808,,20240331,20240727
85,1977,18,11,8,2024-07-07,,2024-03-31,2024-06-21,EDC,Death,Non-Early,Pending,0.0,2678781.92,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240707,,20240331,20240621
86,621,12,12,66,2024-10-31,,2024-03-31,2024-10-23,Maturity,Maturity,,Pending,0.0,334873.5,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241031,,20240331,20241023
87,1105,40,2,10,2024-10-13,,2024-03-31,2024-10-06,SB,SB,,Pending,0.0,265071.7,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241013,,20240331,20241006
88,500,19,5,31,2024-11-02,,2024-03-31,2024-10-15,Maturity,Maturity,,Pending,0.0,200296.85,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241102,,20240331,20241015
89,101,24,9,65,2024-11-14,,2024-03-31,2024-10-30,NEDC,Death,Early,Pending,0.0,2410900.98,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241114,,20240331,20241030
90,1558,10,4,16,2024-06-04,,2024-03-31,2024-05-16,SB,SB,,Pending,0.0,326717.17,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240604,,20240331,20240516
91,563,3,7,33,2024-07-17,,2024-03-31,2024-07-03,Maturity,Maturity,,Pending,0.0,164123.26,,1,1,0,0,0,0,0,0,726,>12 Months,1,1,110589.96,20240717,,20240331,20240703
92,1594,1,10,13,2024-05-16,,2024-03-31,2024-05-02,EDC,Death,Non-Early,Pending,0.0,762652.22,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240516,,20240331,20240502
93,1864,33,8,75,2024-07-29,,2024-03-31,2024-07-28,NEDC,Death,Non-Early,Pending,0.0,721791.67,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240729,,20240331,20240728
94,11,35,8,54,2024-07-02,,2024-03-31,2024-06-25,Maturity,Maturity,,Pending,0.0,166357.13,,1,1,0,0,0,0,0,0,726,>12 Months,1,1,141470.59,20240702,,20240331,20240625
95,39,34,6,55,2024-04-11,,2024-03-31,2024-04-10,SB,SB,,Pending,0.0,63796.97,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240411,,20240331,20240410
96,1346,7,1,18,2024-09-08,,2024-03-31,2024-09-06,NEDC,Death,Non-Early,Pending,0.0,1631251.76,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240908,,20240331,20240906
97,1227,40,4,37,2024-09-18,,2024-03-31,2024-08-31,SB,SB,,Pending,0.0,102896.15,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240918,,20240331,20240831
98,1301,1,11,23,2024-12-09,,2024-03-31,2024-12-02,EDC,Death,Early,Pending,0.0,726128.29,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241209,,20240331,20241202
99,38,26,12,32,2024-01-10,,2024-03-13,2023-12-29,Maturity,Maturity,,Pending,0.0,366185.9,,1,1,0,0,0,0,0,0,744,>12 Months,1,0,0.0,20240110,,20240313,20231229
100,453,9,4,38,2024-07-17,,2024-03-31,2024-06-28,NEDC,Death,Non-Early,Pending,0.0,258989.38,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240717,,20240331,20240628
101,1205,17,10,11,2024-11-06,,2024-03-31,2024-10-19,Maturity,Maturity,,Pending,0.0,251190.79,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241106,,20240331,20241019
102,1220,32,7,63,2024-03-20,,2024-03-31,2024-03-18,NEDC,Death,Non-Early,Pending,0.0,402695.16,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240320,,20240331,20240318
103,1905,15,12,10,2024-10-19,,2024-03-31,2024-10-08,Maturity,Maturity,,Pending,0.0,403894.66,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241019,,20240331,20241008
104,703,15,10,22,2024-10-29,,2024-03-31,2024-10-10,NEDC,Death,Non-Early,Pending,0.0,1025055.66,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241029,,20240331,20241010
105,311,42,2,58,2024-03-12,,2024-03-31,2024-03-05,Maturity,Maturity,,Pending,0.0,343532.46,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240312,,20240331,20240305
106,1521,20,10,63,2024-02-20,,2024-03-31,2024-02-07,Maturity,Maturity,,Pending,0.0,238015.79,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240220,,20240331,20240207
107,1091,21,2,60,2024-12-19,,2024-03-31,2024-12-04,Maturity,Maturity,,Pending,0.0,201848.56,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241219,,20240331,20241204
108,1379,39,8,4,2024-04-22,,2024-03-31,2024-04-20,NEDC,Death,Early,Pending,0.0,695676.53,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240422,,20240331,20240420
109,1354,42,9,48,2024-06-15,,2024-03-31,2024-06-09,SB,SB,,Pending,0.0,90599.63,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240615,,20240331,20240609
110,1982,13,11,79,2024-06-19,,2024-03-31,2024-06-16,NEDC,Death,Non-Early,Pending,0.0,587948.07,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240619,,20240331,20240616
111,171,36,7,43,2024-04-25,,2024-03-31,2024-04-23,NEDC,Death,Non-Early,Pending,0.0,534507.16,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240425,,20240331,20240423
112,598,11,8,18,2024-11-09,,2024-03-31,2024-10-25,SB,SB,,Pending,0.0,77322.84,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241109,,20240331,20241025
113,925,23,2,75,2024-04-13,,2024-03-31,2024-03-27,Maturity,Maturity,,Pending,0.0,261062.56,,1,1,0,0,0,0,0,0,726,>12 Months,1,1,224785.51,20240413,,20240331,20240327
114,61,37,10,3,2024-07-06,,2024-03-31,2024-07-05,EDC,Death,Non-Early,Pending,0.0,1072397.99,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240706,,20240331,20240705
115,1157,41,5,41,2024-03-21,,2024-03-31,2024-03-18,Maturity,Maturity,,Pending,0.0,115213.03,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240321,,20240331,20240318
116,1567,38,9,78,2024-08-21,,2024-03-31,2024-08-11,NEDC,Death,Non-Early,Pending,0.0,500000.19,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20240821,,20240331,20240811
117,481,21,1,3,2024-01-04,,2024-02-03,2023-12-28,EDC,Death,Non-Early,Pending,0.0,351251.91,,1,1,0,0,0,0,0,0,783,>12 Months,1,0,0.0,20240104,,20240203,20231228
118,1244,34,2,11,2024-11-15,,2024-03-31,2024-10-30,SB,SB,,Pending,0.0,72090.21,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241115,,20240331,20241030
119,253,38,10,30,2024-10-23,,2024-03-31,2024-10-17,EDC,Death,Early,Pending,0.0,588259.98,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241023,,20240331,20241017
120,227,41,9,36,2024-11-23,,2024-03-31,2024-11-21,Maturity,Maturity,,Pending,0.0,245016.01,,1,1,0,0,0,0,0,0,726,>12 Months,1,0,0.0,20241123,,20240331,20241121
121,366,11,11,79,2025-09-03,,2025-10-31,2025-08-25,SB,SB,,Pending,0.0,49843.86,,1,1,0,0,0,0,0,0,147,>1 Month,1,0,0.0,20250903,,20251031,20250825
122,1127,20,7,70,2025-08-10,,2025-10-16,2025-08-07,Maturity,Maturity,,Pending,0.0,68563.14,,1,1,0,0,0,0,0,0,162,>1 Month,1,0,0.0,20250810,,20251016,20250807
123,857,27,6,58,2025-09-20,2025-11-29,2025-11-24,2025-09-06,SB,SB,,Paid,62730.94,62455.67,FY2025-26,1,1,1,0,0,0,0,0,0,,0,0,0.0,20250920,20251129.0,20251124,20250906
124,1578,14,10,2,2025-08-16,2025-11-23,2025-11-03,2025-08-14,Maturity,Maturity,,Paid,211724.89,209051.94,FY2025-26,1,1,1,0,0,0,0,0,0,,0,0,0.0,20250816,20251123.0,20251103,20250814
125,1029,32,9,68,2025-09-30,2025-10-22,2025-11-28,2025-09-22,Maturity,Maturity,,Paid,300374.57,292927.41,FY2025-26,1,1,1,1,0,0,0,0,0,,0,0,0.0,20250930,20251022.0,20251128,20250922
126,1760,7,5,43,2025-09-04,2025-11-09,2025-10-26,2025-09-01,Maturity,Maturity,,Paid,242178.27,240252.85,FY2025-26,1,1,1,0,0,0,0,0,0,,0,0,0.0,20250904,20251109.0,20251026,20250901
127,1692,35,2,74,2025-08-09,,2025-10-25,2025-08-08,SB,SB,,Pending,0.0,200650.86,,1,1,0,0,0,0,0,0,153,>1 Month,1,0,0.0,20250809,,20251025,20250808
128,1893,18,2,30,2025-09-27,2025-11-25,2025-11-05,2025-09-25,SB,SB,,Paid,126772.66,125523.71,FY2025-26,1,1,1,0,0,0,0,0,0,,0,0,0.0,20250927,20251125.0,20251105,20250925
129,7,29,5,32,2025-09-08,,2025-11-10,2025-08-26,Maturity,Maturity,,Pending,0.0,667725.84,,1,1,0,0,0,0,0,0,137,>1 Month,1,0,0.0,20250908,,20251110,20250826
